Acni_29915	BJBX01029915.1
Acni_22059	BJBX01022059.1
Acni_14358	BJBX01014358.1
Acni_7202	BJBX01007202.1
Acni_12966	BJBX01012966.1
Acni_3755	BJBX01003755.1
Acni_40428	BJBX01040428.1
Acni_12316	BJBX01012316.1
Acni_38047	BJBX01038047.1
Acni_20017	BJBX01020017.1
Acni_30336	BJBX01030336.1
Acni_18805	BJBX01018805.1
Acni_40283	BJBX01040283.1
Acni_40879	BJBX01040879.1
Acni_42540	BJBX01042540.1
Acni_16960	BJBX01016960.1
Acni_446	BJBX01000446.1
Acni_24068	BJBX01024068.1
Acni_1400	BJBX01001400.1
Acni_12752	BJBX01012752.1
Acni_19380	BJBX01019380.1
Acni_11433	BJBX01011433.1
Acni_34821	BJBX01034821.1
Acni_15671	BJBX01015671.1
Acni_9420	BJBX01009420.1
Acni_31251	BJBX01031251.1
Acni_39204	BJBX01039204.1
Acni_5633	BJBX01005633.1
Acni_17501	BJBX01017501.1
Acni_43220	BJBX01043220.1
Acni_1850	BJBX01001850.1
Acni_6494	BJBX01006494.1
Acni_4505	BJBX01004505.1
Acni_38804	BJBX01038804.1
Acni_21677	BJBX01021677.1
Acni_31740	BJBX01031740.1
Acni_11721	BJBX01011721.1
Acni_33869	BJBX01033869.1
Acni_34916	BJBX01034916.1
Acni_7892	BJBX01007892.1
Acni_24237	BJBX01024237.1
Acni_2813	BJBX01002813.1
Acni_29701	BJBX01029701.1
Acni_20106	BJBX01020106.1
Acni_16085	BJBX01016085.1
Acni_13138	BJBX01013138.1
Acni_29171	BJBX01029171.1
Acni_39159	BJBX01039159.1
Acni_6110	BJBX01006110.1
Acni_7239	BJBX01007239.1
Acni_9460	BJBX01009460.1
Acni_24650	BJBX01024650.1
Acni_21962	BJBX01021962.1
Acni_39220	BJBX01039220.1
Acni_24210	BJBX01024210.1
Acni_36299	BJBX01036299.1
Acni_3452	BJBX01003452.1
Acni_20217	BJBX01020217.1
Acni_10540	BJBX01010540.1
Acni_3447	BJBX01003447.1
Acni_15079	BJBX01015079.1
Acni_18137	BJBX01018137.1
Acni_2759	BJBX01002759.1
Acni_11101	BJBX01011101.1
Acni_38636	BJBX01038636.1
Acni_16213	BJBX01016213.1
Acni_38671	BJBX01038671.1
Acni_9001	BJBX01009001.1
Acni_12493	BJBX01012493.1
Acni_34835	BJBX01034835.1
Acni_38723	BJBX01038723.1
Acni_21575	BJBX01021575.1
Acni_9988	BJBX01009988.1
Acni_29863	BJBX01029863.1
Acni_19147	BJBX01019147.1
Acni_14558	BJBX01014558.1
Acni_40009	BJBX01040009.1
Acni_5917	BJBX01005917.1
Acni_37191	BJBX01037191.1
Acni_13681	BJBX01013681.1
Acni_26904	BJBX01026904.1
Acni_41993	BJBX01041993.1
Acni_13253	BJBX01013253.1
Acni_31846	BJBX01031846.1
Acni_7694	BJBX01007694.1
Acni_36962	BJBX01036962.1
Acni_20760	BJBX01020760.1
Acni_1943	BJBX01001943.1
Acni_13408	BJBX01013408.1
Acni_40604	BJBX01040604.1
Acni_10069	BJBX01010069.1
Acni_17563	BJBX01017563.1
Acni_28865	BJBX01028865.1
Acni_18070	BJBX01018070.1
Acni_28238	BJBX01028238.1
Acni_36910	BJBX01036910.1
Acni_14323	BJBX01014323.1
Acni_39932	BJBX01039932.1
Acni_33708	BJBX01033708.1
Acni_4428	BJBX01004428.1
Acni_7640	BJBX01007640.1
Acni_41317	BJBX01041317.1
Acni_26549	BJBX01026549.1
Acni_22659	BJBX01022659.1
Acni_13289	BJBX01013289.1
Acni_27080	BJBX01027080.1
Acni_29264	BJBX01029264.1
Acni_20127	BJBX01020127.1
Acni_27384	BJBX01027384.1
Acni_34407	BJBX01034407.1
Acni_13306	BJBX01013306.1
Acni_2169	BJBX01002169.1
Acni_22433	BJBX01022433.1
Acni_35791	BJBX01035791.1
Acni_13736	BJBX01013736.1
Acni_4417	BJBX01004417.1
Acni_1702	BJBX01001702.1
Acni_25549	BJBX01025549.1
Acni_23775	BJBX01023775.1
Acni_836	BJBX01000836.1
Acni_29308	BJBX01029308.1
Acni_31564	BJBX01031564.1
Acni_32466	BJBX01032466.1
Acni_4544	BJBX01004544.1
Acni_9238	BJBX01009238.1
Acni_35162	BJBX01035162.1
Acni_43016	BJBX01043016.1
Acni_1757	BJBX01001757.1
Acni_12753	BJBX01012753.1
Acni_29200	BJBX01029200.1
Acni_34398	BJBX01034398.1
Acni_24623	BJBX01024623.1
Acni_34416	BJBX01034416.1
Acni_23675	BJBX01023675.1
Acni_38903	BJBX01038903.1
Acni_14267	BJBX01014267.1
Acni_6849	BJBX01006849.1
Acni_40687	BJBX01040687.1
Acni_16638	BJBX01016638.1
Acni_39207	BJBX01039207.1
Acni_25770	BJBX01025770.1
Acni_15328	BJBX01015328.1
Acni_32954	BJBX01032954.1
Acni_43371	BJBX01043371.1
Acni_1833	BJBX01001833.1
Acni_13895	BJBX01013895.1
Acni_15737	BJBX01015737.1
Acni_16997	BJBX01016997.1
Acni_30012	BJBX01030012.1
Acni_39034	BJBX01039034.1
Acni_10947	BJBX01010947.1
Acni_9498	BJBX01009498.1
Acni_24242	BJBX01024242.1
Acni_26980	BJBX01026980.1
Acni_10262	BJBX01010262.1
Acni_5132	BJBX01005132.1
Acni_16057	BJBX01016057.1
Acni_37956	BJBX01037956.1
Acni_33857	BJBX01033857.1
Acni_8259	BJBX01008259.1
Acni_27022	BJBX01027022.1
Acni_8072	BJBX01008072.1
Acni_8205	BJBX01008205.1
Acni_11451	BJBX01011451.1
Acni_33188	BJBX01033188.1
Acni_5582	BJBX01005582.1
Acni_43394	BJBX01043394.1
Acni_30475	BJBX01030475.1
Acni_8155	BJBX01008155.1
Acni_25276	BJBX01025276.1
Acni_23843	BJBX01023843.1
Acni_32904	BJBX01032904.1
Acni_1617	BJBX01001617.1
Acni_34799	BJBX01034799.1
Acni_31052	BJBX01031052.1
Acni_3633	BJBX01003633.1
Acni_4765	BJBX01004765.1
Acni_42279	BJBX01042279.1
Acni_26701	BJBX01026701.1
Acni_13511	BJBX01013511.1
Acni_40625	BJBX01040625.1
Acni_25587	BJBX01025587.1
Acni_19119	BJBX01019119.1
Acni_13572	BJBX01013572.1
