GL251067.1	NW_003276017.1
GL250260.1	NW_003275210.1
GL240718.1	NW_003265668.1
GL246515.1	NW_003271465.1
GL224697.1	NW_003249647.1
GL207164.1	NW_003232114.1
GL259744.1	NW_003284694.1
GL221245.1	NW_003246195.1
GL231766.1	NW_003256716.1
GL257785.1	NW_003282735.1
GL199340.1	NW_003224290.1
GL234838.1	NW_003259788.1
GL261527.1	NW_003286477.1
GL196804.1	NW_003221754.1
GL223824.1	NW_003248774.1
GL196091.1	NW_003221041.1
GL253581.1	NW_003278531.1
GL247803.1	NW_003272753.1
GL223438.1	NW_003248388.1
GL195076.1	NW_003220026.1
GL224293.1	NW_003249243.1
GL269318.1	NW_003294268.1
GL196877.1	NW_003221827.1
GL253083.1	NW_003278033.1
GL228342.1	NW_003253292.1
GL208342.1	NW_003233292.1
GL206480.1	NW_003231430.1
GL224020.1	NW_003248970.1
GL252815.1	NW_003277765.1
GL262113.1	NW_003287063.1
GL252784.1	NW_003277734.1
GL205571.1	NW_003230521.1
GL234221.1	NW_003259171.1
GL215368.1	NW_003240318.1
GL250519.1	NW_003275469.1
GL240532.1	NW_003265482.1
GL213978.1	NW_003238928.1
GL212193.1	NW_003237143.1
GL269861.1	NW_003294811.1
GL205842.1	NW_003230792.1
GL239171.1	NW_003264121.1
GL200629.1	NW_003225579.1
GL211760.1	NW_003236710.1
GL240963.1	NW_003265913.1
GL225786.1	NW_003250736.1
GL238103.1	NW_003263053.1
GL234632.1	NW_003259582.1
GL241768.1	NW_003266718.1
GL239242.1	NW_003264192.1
GL194243.1	NW_003219193.1
GL248209.1	NW_003273159.1
GL223003.1	NW_003247953.1
GL193126.1	NW_003218076.1
GL251433.1	NW_003276383.1
GL258858.1	NW_003283808.1
GL244726.1	NW_003269676.1
GL261291.1	NW_003286241.1
GL242825.1	NW_003267775.1
GL267736.1	NW_003292686.1
GL229423.1	NW_003254373.1
GL218556.1	NW_003243506.1
GL205596.1	NW_003230546.1
GL221133.1	NW_003246083.1
GL248214.1	NW_003273164.1
GL242834.1	NW_003267784.1
GL216297.1	NW_003241247.1
GL192949.1	NW_003217899.1
GL262380.1	NW_003287330.1
GL256379.1	NW_003281329.1
GL200038.1	NW_003224988.1
GL229870.1	NW_003254820.1
GL260424.1	NW_003285374.1
GL205333.1	NW_003230283.1
GL262685.1	NW_003287635.1
GL262928.1	NW_003287878.1
GL229344.1	NW_003254294.1
GL254642.1	NW_003279592.1
GL231307.1	NW_003256257.1
GL198407.1	NW_003223357.1
GL242687.1	NW_003267637.1
GL215534.1	NW_003240484.1
GL252020.1	NW_003276970.1
GL211243.1	NW_003236193.1
GL236342.1	NW_003261292.1
GL264627.1	NW_003289577.1
GL203954.1	NW_003228904.1
GL253227.1	NW_003278177.1
GL246137.1	NW_003271087.1
GL261182.1	NW_003286132.1
GL253290.1	NW_003278240.1
GL267595.1	NW_003292545.1
GL253517.1	NW_003278467.1
GL262706.1	NW_003287656.1
GL254256.1	NW_003279206.1
GL194491.1	NW_003219441.1
GL233251.1	NW_003258201.1
GL236799.1	NW_003261749.1
GL245303.1	NW_003270253.1
GL247316.1	NW_003272266.1
GL273249.1	NW_003298199.1
GL239521.1	NW_003264471.1
GL212708.1	NW_003237658.1
GL259775.1	NW_003284725.1
GL200466.1	NW_003225416.1
GL262403.1	NW_003287353.1
GL267871.1	NW_003292821.1
GL222494.1	NW_003247444.1
GL263857.1	NW_003288807.1
GL242225.1	NW_003267175.1
GL227218.1	NW_003252168.1
GL227984.1	NW_003252934.1
GL272769.1	NW_003297719.1
GL271831.1	NW_003296781.1
GL260297.1	NW_003285247.1
GL197072.1	NW_003222022.1
GL259002.1	NW_003283952.1
GL194820.1	NW_003219770.1
GL215433.1	NW_003240383.1
GL255656.1	NW_003280606.1
GL217081.1	NW_003242031.1
GL211971.1	NW_003236921.1
GL273401.1	NW_003298351.1
GL262116.1	NW_003287066.1
GL232674.1	NW_003257624.1
GL200812.1	NW_003225762.1
GL241886.1	NW_003266836.1
GL232293.1	NW_003257243.1
GL227837.1	NW_003252787.1
GL232578.1	NW_003257528.1
GL248523.1	NW_003273473.1
GL238660.1	NW_003263610.1
GL242569.1	NW_003267519.1
GL231543.1	NW_003256493.1
GL217421.1	NW_003242371.1
GL203390.1	NW_003228340.1
GL213637.1	NW_003238587.1
GL265885.1	NW_003290835.1
GL257803.1	NW_003282753.1
GL216765.1	NW_003241715.1
GL226653.1	NW_003251603.1
GL246742.1	NW_003271692.1
GL199648.1	NW_003224598.1
GL227282.1	NW_003252232.1
GL261232.1	NW_003286182.1
GL245169.1	NW_003270119.1
GL200737.1	NW_003225687.1
GL216400.1	NW_003241350.1
GL264173.1	NW_003289123.1
GL232308.1	NW_003257258.1
GL209054.1	NW_003234004.1
GL210976.1	NW_003235926.1
GL258255.1	NW_003283205.1
GL199343.1	NW_003224293.1
GL194503.1	NW_003219453.1
GL259608.1	NW_003284558.1
GL221065.1	NW_003246015.1
GL202894.1	NW_003227844.1
GL196564.1	NW_003221514.1
GL199991.1	NW_003224941.1
GL194142.1	NW_003219092.1
GL269084.1	NW_003294034.1
GL220644.1	NW_003245594.1
GL204147.1	NW_003229097.1
GL194169.1	NW_003219119.1
GL214651.1	NW_003239601.1
GL192488.1	NW_003217438.1
GL252762.1	NW_003277712.1
GL230093.1	NW_003255043.1
GL254149.1	NW_003279099.1
GL206235.1	NW_003231185.1
GL241339.1	NW_003266289.1
GL214489.1	NW_003239439.1
GL201933.1	NW_003226883.1
GL247311.1	NW_003272261.1
GL261549.1	NW_003286499.1
GL256408.1	NW_003281358.1
GL198756.1	NW_003223706.1
GL226416.1	NW_003251366.1
GL266000.1	NW_003290950.1
GL266232.1	NW_003291182.1
GL216174.1	NW_003241124.1
GL224351.1	NW_003249301.1
GL256454.1	NW_003281404.1
GL269532.1	NW_003294482.1
GL258623.1	NW_003283573.1
GL200923.1	NW_003225873.1
GL269362.1	NW_003294312.1
GL218810.1	NW_003243760.1
GL251826.1	NW_003276776.1
GL197397.1	NW_003222347.1
GL253615.1	NW_003278565.1
GL210555.1	NW_003235505.1
GL258841.1	NW_003283791.1
GL195407.1	NW_003220357.1
GL245988.1	NW_003270938.1
GL217290.1	NW_003242240.1
GL199030.1	NW_003223980.1
GL220462.1	NW_003245412.1
GL265984.1	NW_003290934.1
GL251737.1	NW_003276687.1
GL214261.1	NW_003239211.1
GL244596.1	NW_003269546.1
GL272920.1	NW_003297870.1
GL205516.1	NW_003230466.1
GL258964.1	NW_003283914.1
GL196317.1	NW_003221267.1
GL208764.1	NW_003233714.1
GL222288.1	NW_003247238.1
GL201264.1	NW_003226214.1
GL198426.1	NW_003223376.1
GL252931.1	NW_003277881.1
GL239410.1	NW_003264360.1
GL271231.1	NW_003296181.1
GL233236.1	NW_003258186.1
GL252004.1	NW_003276954.1
GL261908.1	NW_003286858.1
GL230707.1	NW_003255657.1
GL225131.1	NW_003250081.1
GL271322.1	NW_003296272.1
GL259086.1	NW_003284036.1
GL234377.1	NW_003259327.1
GL270061.1	NW_003295011.1
GL222912.1	NW_003247862.1
GL269996.1	NW_003294946.1
GL195368.1	NW_003220318.1
GL267513.1	NW_003292463.1
GL268751.1	NW_003293701.1
GL214252.1	NW_003239202.1
GL210210.1	NW_003235160.1
GL243023.1	NW_003267973.1
GL260039.1	NW_003284989.1
GL221034.1	NW_003245984.1
GL213948.1	NW_003238898.1
GL268517.1	NW_003293467.1
GL243341.1	NW_003268291.1
GL232620.1	NW_003257570.1
GL196246.1	NW_003221196.1
GL265405.1	NW_003290355.1
GL213818.1	NW_003238768.1
GL252998.1	NW_003277948.1
GL217159.1	NW_003242109.1
GL248717.1	NW_003273667.1
GL230454.1	NW_003255404.1
GL257677.1	NW_003282627.1
GL273738.1	NW_003298688.1
GL254344.1	NW_003279294.1
GL237363.1	NW_003262313.1
GL271612.1	NW_003296562.1
GL205342.1	NW_003230292.1
GL198841.1	NW_003223791.1
GL263268.1	NW_003288218.1
GL223490.1	NW_003248440.1
GL202983.1	NW_003227933.1
GL201827.1	NW_003226777.1
GL272516.1	NW_003297466.1
GL196782.1	NW_003221732.1
GL241738.1	NW_003266688.1
GL234519.1	NW_003259469.1
GL247350.1	NW_003272300.1
GL242159.1	NW_003267109.1
GL224161.1	NW_003249111.1
GL271309.1	NW_003296259.1
GL253963.1	NW_003278913.1
GL203323.1	NW_003228273.1
GL272497.1	NW_003297447.1
GL206939.1	NW_003231889.1
GL271119.1	NW_003296069.1
GL199348.1	NW_003224298.1
GL257716.1	NW_003282666.1
GL245826.1	NW_003270776.1
GL250321.1	NW_003275271.1
GL206031.1	NW_003230981.1
GL196811.1	NW_003221761.1
GL217114.1	NW_003242064.1
GL264802.1	NW_003289752.1
GL210603.1	NW_003235553.1
GL195887.1	NW_003220837.1
GL198816.1	NW_003223766.1
GL208410.1	NW_003233360.1
GL229582.1	NW_003254532.1
GL232013.1	NW_003256963.1
GL254088.1	NW_003279038.1
GL212896.1	NW_003237846.1
GL254705.1	NW_003279655.1
GL244477.1	NW_003269427.1
GL224689.1	NW_003249639.1
GL272443.1	NW_003297393.1
GL220765.1	NW_003245715.1
GL222266.1	NW_003247216.1
GL253903.1	NW_003278853.1
GL200862.1	NW_003225812.1
GL204426.1	NW_003229376.1
GL205849.1	NW_003230799.1
GL199494.1	NW_003224444.1
GL201958.1	NW_003226908.1
GL265882.1	NW_003290832.1
GL245804.1	NW_003270754.1
GL260778.1	NW_003285728.1
GL262376.1	NW_003287326.1
GL219086.1	NW_003244036.1
GL222021.1	NW_003246971.1
GL232312.1	NW_003257262.1
GL256770.1	NW_003281720.1
GL255352.1	NW_003280302.1
GL242850.1	NW_003267800.1
GL256669.1	NW_003281619.1
GL253468.1	NW_003278418.1
GL221242.1	NW_003246192.1
GL215880.1	NW_003240830.1
GL207818.1	NW_003232768.1
GL228912.1	NW_003253862.1
GL241711.1	NW_003266661.1
GL224668.1	NW_003249618.1
GL230983.1	NW_003255933.1
GL265505.1	NW_003290455.1
GL230704.1	NW_003255654.1
GL255047.1	NW_003279997.1
GL205215.1	NW_003230165.1
GL232143.1	NW_003257093.1
GL234123.1	NW_003259073.1
GL244137.1	NW_003269087.1
GL245401.1	NW_003270351.1
GL198395.1	NW_003223345.1
GL249585.1	NW_003274535.1
GL262860.1	NW_003287810.1
GL205566.1	NW_003230516.1
GL227808.1	NW_003252758.1
GL273684.1	NW_003298634.1
GL231565.1	NW_003256515.1
GL262602.1	NW_003287552.1
GL219448.1	NW_003244398.1
GL265686.1	NW_003290636.1
GL213338.1	NW_003238288.1
GL229360.1	NW_003254310.1
GL220006.1	NW_003244956.1
GL269723.1	NW_003294673.1
GL267473.1	NW_003292423.1
GL243329.1	NW_003268279.1
GL211529.1	NW_003236479.1
GL245940.1	NW_003270890.1
GL241953.1	NW_003266903.1
GL239841.1	NW_003264791.1
GL257370.1	NW_003282320.1
GL263743.1	NW_003288693.1
GL208561.1	NW_003233511.1
GL244282.1	NW_003269232.1
GL265234.1	NW_003290184.1
GL255298.1	NW_003280248.1
GL267197.1	NW_003292147.1
GL251366.1	NW_003276316.1
GL234409.1	NW_003259359.1
GL222968.1	NW_003247918.1
GL235467.1	NW_003260417.1
GL218065.1	NW_003243015.1
GL208317.1	NW_003233267.1
GL251560.1	NW_003276510.1
GL205985.1	NW_003230935.1
GL262111.1	NW_003287061.1
GL236211.1	NW_003261161.1
GL232744.1	NW_003257694.1
GL230757.1	NW_003255707.1
GL195591.1	NW_003220541.1
GL254303.1	NW_003279253.1
GL244552.1	NW_003269502.1
GL246930.1	NW_003271880.1
GL259787.1	NW_003284737.1
GL241608.1	NW_003266558.1
GL254951.1	NW_003279901.1
GL232318.1	NW_003257268.1
GL207841.1	NW_003232791.1
GL251148.1	NW_003276098.1
GL244182.1	NW_003269132.1
GL200460.1	NW_003225410.1
GL259323.1	NW_003284273.1
GL213395.1	NW_003238345.1
GL265632.1	NW_003290582.1
GL230926.1	NW_003255876.1
GL202867.1	NW_003227817.1
GL272879.1	NW_003297829.1
GL271686.1	NW_003296636.1
GL215467.1	NW_003240417.1
GL198711.1	NW_003223661.1
GL195717.1	NW_003220667.1
GL195998.1	NW_003220948.1
GL194738.1	NW_003219688.1
GL256565.1	NW_003281515.1
GL211212.1	NW_003236162.1
GL272384.1	NW_003297334.1
GL262157.1	NW_003287107.1
GL260929.1	NW_003285879.1
GL240421.1	NW_003265371.1
GL216968.1	NW_003241918.1
GL267220.1	NW_003292170.1
GL243404.1	NW_003268354.1
GL235318.1	NW_003260268.1
GL261824.1	NW_003286774.1
GL192702.1	NW_003217652.1
GL218962.1	NW_003243912.1
GL231056.1	NW_003256006.1
GL252041.1	NW_003276991.1
GL262992.1	NW_003287942.1
GL227477.1	NW_003252427.1
GL227655.1	NW_003252605.1
GL234660.1	NW_003259610.1
GL227798.1	NW_003252748.1
GL237146.1	NW_003262096.1
GL248260.1	NW_003273210.1
GL241131.1	NW_003266081.1
GL199423.1	NW_003224373.1
GL233653.1	NW_003258603.1
GL229782.1	NW_003254732.1
GL197306.1	NW_003222256.1
GL212399.1	NW_003237349.1
GL248129.1	NW_003273079.1
GL209091.1	NW_003234041.1
GL221385.1	NW_003246335.1
GL193072.1	NW_003218022.1
GL230694.1	NW_003255644.1
GL242197.1	NW_003267147.1
GL210447.1	NW_003235397.1
GL207273.1	NW_003232223.1
GL249766.1	NW_003274716.1
GL227258.1	NW_003252208.1
GL246063.1	NW_003271013.1
GL258895.1	NW_003283845.1
GL257484.1	NW_003282434.1
GL237567.1	NW_003262517.1
GL226690.1	NW_003251640.1
GL262833.1	NW_003287783.1
GL256662.1	NW_003281612.1
GL213935.1	NW_003238885.1
GL237552.1	NW_003262502.1
GL249963.1	NW_003274913.1
GL216220.1	NW_003241170.1
GL268976.1	NW_003293926.1
GL230974.1	NW_003255924.1
GL223888.1	NW_003248838.1
GL261448.1	NW_003286398.1
GL222980.1	NW_003247930.1
GL202140.1	NW_003227090.1
GL218282.1	NW_003243232.1
GL214724.1	NW_003239674.1
GL273305.1	NW_003298255.1
GL235214.1	NW_003260164.1
GL227266.1	NW_003252216.1
GL238518.1	NW_003263468.1
GL228225.1	NW_003253175.1
GL247681.1	NW_003272631.1
GL235519.1	NW_003260469.1
GL206028.1	NW_003230978.1
GL224871.1	NW_003249821.1
GL207358.1	NW_003232308.1
GL272399.1	NW_003297349.1
GL198012.1	NW_003222962.1
GL251750.1	NW_003276700.1
GL248397.1	NW_003273347.1
GL223736.1	NW_003248686.1
GL244097.1	NW_003269047.1
GL237529.1	NW_003262479.1
GL262887.1	NW_003287837.1
GL267690.1	NW_003292640.1
GL222672.1	NW_003247622.1
GL231208.1	NW_003256158.1
GL200065.1	NW_003225015.1
GL252507.1	NW_003277457.1
GL205744.1	NW_003230694.1
GL202662.1	NW_003227612.1
GL258585.1	NW_003283535.1
GL208075.1	NW_003233025.1
GL205314.1	NW_003230264.1
GL247249.1	NW_003272199.1
GL198890.1	NW_003223840.1
GL198734.1	NW_003223684.1
GL254780.1	NW_003279730.1
GL198806.1	NW_003223756.1
GL260771.1	NW_003285721.1
GL226822.1	NW_003251772.1
GL250471.1	NW_003275421.1
GL198360.1	NW_003223310.1
GL252245.1	NW_003277195.1
GL214901.1	NW_003239851.1
GL198891.1	NW_003223841.1
GL210136.1	NW_003235086.1
GL263041.1	NW_003287991.1
GL209837.1	NW_003234787.1
GL265518.1	NW_003290468.1
GL231929.1	NW_003256879.1
GL256234.1	NW_003281184.1
GL234593.1	NW_003259543.1
GL207061.1	NW_003232011.1
GL232765.1	NW_003257715.1
GL259144.1	NW_003284094.1
GL196856.1	NW_003221806.1
GL216444.1	NW_003241394.1
GL259444.1	NW_003284394.1
GL269596.1	NW_003294546.1
GL266285.1	NW_003291235.1
GL255375.1	NW_003280325.1
GL243761.1	NW_003268711.1
GL232448.1	NW_003257398.1
GL245270.1	NW_003270220.1
GL202455.1	NW_003227405.1
GL267157.1	NW_003292107.1
GL218575.1	NW_003243525.1
GL230811.1	NW_003255761.1
GL228206.1	NW_003253156.1
GL230773.1	NW_003255723.1
GL231170.1	NW_003256120.1
GL262046.1	NW_003286996.1
GL266866.1	NW_003291816.1
