MVNR01018673.1	orpheusFish_scaffold18673
MVNR01005393.1	NW_019034509.1
MVNR01011333.1	NW_019040449.1
MVNR01003574.1	NW_019032690.1
MVNR01006133.1	NW_019035249.1
MVNR01020083.1	NW_019049199.1
MVNR01010306.1	orpheusFish_scaffold10306
MVNR01013730.1	NW_019042846.1
MVNR01008964.1	orpheusFish_scaffold8964
MVNR01016258.1	NW_019045374.1
MVNR01018879.1	NW_019047995.1
MVNR01001942.1	orpheusFish_scaffold1942
MVNR01008185.1	orpheusFish_scaffold8185
MVNR01026551.1	orpheusFish_scaffold26551
MVNR01015363.1	orpheusFish_scaffold15363
MVNR01000121.1	NW_019029237.1
MVNR01016766.1	orpheusFish_scaffold16766
MVNR01014698.1	NW_019043814.1
MVNR01014515.1	NW_019043631.1
MVNR01015695.1	NW_019044811.1
MVNR01022714.1	orpheusFish_scaffold22714
MVNR01001757.1	NW_019030873.1
MVNR01014256.1	NW_019043372.1
MVNR01011631.1	orpheusFish_scaffold11631
MVNR01023430.1	orpheusFish_scaffold23430
MVNR01004558.1	NW_019033674.1
MVNR01004066.1	NW_019033182.1
MVNR01020712.1	orpheusFish_scaffold20712
MVNR01009003.1	orpheusFish_scaffold9003
MVNR01011553.1	NW_019040669.1
MVNR01003026.1	NW_019032142.1
MVNR01024477.1	orpheusFish_scaffold24477
MVNR01000155.1	NW_019029271.1
MVNR01018678.1	orpheusFish_scaffold18678
MVNR01024679.1	orpheusFish_scaffold24679
MVNR01018818.1	NW_019047934.1
MVNR01013901.1	orpheusFish_scaffold13901
MVNR01025984.1	orpheusFish_scaffold25984
MVNR01021317.1	orpheusFish_scaffold21317
MVNR01003579.1	NW_019032695.1
MVNR01009874.1	NW_019038990.1
MVNR01016764.1	NW_019045880.1
MVNR01024596.1	NW_019053712.1
MVNR01016199.1	orpheusFish_scaffold16199
MVNR01006651.1	NW_019035767.1
MVNR01025725.1	orpheusFish_scaffold25725
MVNR01007457.1	orpheusFish_scaffold7457
MVNR01001064.1	orpheusFish_scaffold1064
MVNR01010629.1	orpheusFish_scaffold10629
MVNR01009511.1	orpheusFish_scaffold9511
MVNR01002625.1	NW_019031741.1
MVNR01019613.1	NW_019048729.1
MVNR01011551.1	NW_019040667.1
MVNR01017112.1	orpheusFish_scaffold17112
MVNR01013255.1	orpheusFish_scaffold13255
MVNR01023087.1	NW_019052203.1
MVNR01013195.1	orpheusFish_scaffold13195
MVNR01013316.1	NW_019042432.1
MVNR01009507.1	NW_019038623.1
MVNR01015419.1	orpheusFish_scaffold15419
MVNR01009118.1	NW_019038234.1
MVNR01006310.1	NW_019035426.1
MVNR01007327.1	NW_019036443.1
MVNR01013835.1	NW_019042951.1
MVNR01029831.1	NW_019058947.1
MVNR01000638.1	orpheusFish_scaffold638
MVNR01008936.1	NW_019038052.1
MVNR01023262.1	orpheusFish_scaffold23262
MVNR01007512.1	NW_019036628.1
MVNR01025077.1	orpheusFish_scaffold25077
MVNR01008043.1	orpheusFish_scaffold8043
MVNR01013690.1	NW_019042806.1
MVNR01016701.1	orpheusFish_scaffold16701
MVNR01030286.1	NW_019059402.1
MVNR01014235.1	orpheusFish_scaffold14235
MVNR01026454.1	NW_019055570.1
MVNR01001446.1	NW_019030562.1
MVNR01005715.1	NW_019034831.1
MVNR01019264.1	orpheusFish_scaffold19264
MVNR01010848.1	NW_019039964.1
MVNR01025484.1	orpheusFish_scaffold25484
MVNR01003664.1	orpheusFish_scaffold3664
MVNR01011522.1	NW_019040638.1
MVNR01023482.1	orpheusFish_scaffold23482
MVNR01011031.1	orpheusFish_scaffold11031
MVNR01027083.1	NW_019056199.1
MVNR01008756.1	orpheusFish_scaffold8756
MVNR01017352.1	orpheusFish_scaffold17352
